,Cause of Breach,Data Stolen,Date Notice Provided to Consumers,Date(s) of Discovery of Breach,Dates of Breach,Entity Address,Entity Type,Individuals Affected,Name of Entity,State Reported
1126,,"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2016-07-19 00:00:00,,2016-04-01 00:00:00,,,4(in Maine,"Internet Chess Club, Inc., 5820 Forbes Ave., Suite 1, Pittsburgh, PA 15217",Maine
1127,,"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2016-07-19 00:00:00,,April 2015-June 2016,,,341(in Maine,"NLU Products, LLC, 2801 N. Thanksgiving Way, Suite 300, Lehi, UT 84043",Maine
1128,,"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2016-07-19 00:00:00,,4/21/16-6/13/16,,,19(in Maine,"San Antonio Shoemakers, 1717 SAS Drive, San Antonio, TX 78224",Maine
1129,,"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2016-07-15 00:00:00,,4/28/15-5/4/16 (discovered 5/4/16),,,30(in Maine,"Matador Recordings, LLC (d/b/a Matador Direct), 134 Grand Street, New York, NY 10013",Maine
1130,,Name or other personal identifier in combination with SSN,2016-07-15 00:00:00,,3/28/2016 (discovered on or about 6/16/16),,,6(in Maine,"USA Field Hockey, 5540 North Academy Blvd, Suite 100, Colorado Springs, CO 80918",Maine
1131,,Discover card account information may have been compromised.,2016-07-14 00:00:00,,"June, 2016",,,2(in Maine,American Stationery,Maine
1132,,Discover card account information may have been compromised.,2016-07-14 00:00:00,,"June, 2016",,,532(in Maine,Cstars of Maine,Maine
1133,,Discover card account information may have been compromised.,2016-07-14 00:00:00,,"June, 2016",,,2(in Maine,Discount Online Parts,Maine
1134,,Discover card account information may have been compromised.,2016-07-14 00:00:00,,"June, 2016",,,4(in Maine,Gadget Guard,Maine
1135,,Discover card account information may have been compromised.,2016-07-14 00:00:00,,"June, 2016",,,1(in Maine,Giftcollector.com,Maine
1136,,Discover card account information may have been compromised.,2016-07-14 00:00:00,,"June, 2016",,,7(in Maine,Hersheypark (:),Maine
1137,,Discover card account information may have been compromised.,2016-07-14 00:00:00,,"June, 2016",,,2(in Maine,Lucky Pet Inc.,Maine
1138,,Discover card account information may have been compromised.,2016-07-14 00:00:00,,"June, 2016",,,62(in Maine,PNI Digitial Media,Maine
1139,,Discover card account information may have been compromised.,2016-07-14 00:00:00,,"June, 2016",,,1(in Maine,Quarterdeck Seafood Bar,Maine
1140,,Discover card account information may have been compromised.,2016-07-14 00:00:00,,"June, 2016",,,2(in Maine,WWW.sealedbysanta.com,Maine
1141,,"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2016-07-14 00:00:00,,4/23-24/2016 (discovered on or about 6/14/16),,,18(in Maine,"Project Management Institute, 14 Campus Blvd, Newton Square, PA 19073",Maine
1142,,Name or other personal identifier in combination with SSN and Driver's license number or non-driver identification card number.,2016-07-14 00:00:00,,Late May 2016 (Discovered 6/14/16),,,6(in Maine,"IAP Worldwide Services, Inc., 7315 North Atlantic Avenue, Cape Canaveral, FL 32920",Maine
1143,,Name or other personal identifier in combinaiton with SSN,2016-07-12 00:00:00,,2016-06-17 00:00:00,,,4(in Maine,"Gamesa Wind US LLC, 1150 Northbrook Dr., Suite 150, Trevose, IN 19053",Maine
1144,,Name or other personal identifier in combination with SSN.,2016-07-11 00:00:00,,6/16/16 (discovered 6/17/16),,,1(in Maine,"Career Education Corporation, 231 N Martingale Road, Schaumberg, IL 60173",Maine
1145,,"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2016-07-11 00:00:00,,4/24/16 (discovered 6/23/16),,,6(in Maine,"American Association for the Advancement of Science, 1200 New York Avenue NW, Washington, DC 20005",Maine
1146,,Name or other personal identifier in combination with SSN and Driver's license number or non-driver identification card number.,2016-07-11 00:00:00,,On or before 6/16/16 (Discovered 6/13/16; 6/15/16; 6/16/16),,,6(in Maine,"Intuit, Inc., 2535 Garcia Avenue, Mountain View, CA  94043",Maine
1147,,Name or other personal identifier in combination with SSN,2016-07-08 00:00:00,,5/25/16 (discovered 6/3/16,,,19(in Maine,"North Carolina State University, Raleigh, NC 27695",Maine
1148,,"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2016-07-08 00:00:00,,4/24/16 (discovered 6/27/16),,,2(in Maine,"Water Environment Federation, 601, Wythe Street, Alexandria, VA 22314",Maine
1149,,"Certain payment card information, including cardholder name, credit/debit card number, security code and expiration date.",2016-07-07 00:00:00,,Between 12/23/15 and 6/14/16 (Discovered 5/30/16),,,117(in Maine,Omni Hotels and Resorts,Maine
1150,,"Customer payment card information incl. name, credit or debit card number, expiration date, cardholder verification value, and service code.",2016-07-05 00:00:00,,Between 1/13/16 and 6/08/16,,,Not specified.(in Maine,"Wendco of Maine,LLC (part of The Wendy's Company), One Dave Thomas Blvd., Dublin, OH 43017",Maine
1151,,"Name or other personal identifier in combination with addresses, payment card numbers and security codes.",2016-06-30 00:00:00,,Between 10/21/15 and 4/07/16,,,24(in Maine,KontrolFreek LLC,Maine
1152,,Name or other personal identifier in combination with SSN.,2016-06-30 00:00:00,,2016-06-16 00:00:00,,,1(in Maine,"Pennsylvania Lumbermens Mutual Insurance Company, 2005 Market Street, Suite 1200, Philadelphia, PA 19103",Maine
1153,,"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2016-06-27 00:00:00,,10/27/2015 to 3/21/2016 (discovered 5/13/16),,,Unknown(in Maine,"Hard Rock Hotel and Casino Las Vegas, 455 Paradise Road, Las Vegas, NV 89169",Maine
1154,,"Sensitive data elements, specifically social security numbers of former Bucknell University students.",2016-06-22 00:00:00,,Sometime in or prior to February of 2009 (discovered 5/09/16),,,1(in Maine,"Bucknell University, 701 Moore Ave., Lewisburg, PA 17837",Maine
1155,,"Name or other personal identifier in combination with W-2 Form information incl.SSN,address, and 2015 wage information.",2016-06-17 00:00:00,,4/25/16 -5/17/16 (discovered 5/17/16),,,1(in Maine,"Grand Valley State University, One Campus Drive, Allendale, MI 49401",Maine
1156,,"Name or other personal identifier in combination with SSN and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2016-06-16 00:00:00,,3/21/16 (discovered 5/04/16),,,8(in Maine,"Foundation of the Massachusetts Eye and Ear Infirmary, Inc., Massachusetts Eye and Ear Infirmary, 243 Charles Street, Boston, MA 02214",Maine
1157,,"Employee W-2 Form information incl. name, SSN, date of birth, address, wage information and tax information.",2016-06-16 00:00:00,,Late January or early February 2016 (discovered 4/05/16),,,1(in Maine,"Stanford University, Office of Audit, Compliance and Privacy, Room 10, Encina Hall, 616 Serra Street, Stanford, CA 94305-6212",Maine
1158,,"Unauthorized access to proprietary database by a party unaffiliated with Uber, compromising names and driver's license numbers of residents.",2016-06-16 00:00:00,,Not specified (Update of 2/26/15 notification),,,4(in Maine,"Uber Technologies, Inc. (""Uber"")",Maine
1159,,Name or other personal identifier in combination with SSN and driver's license number or non-driver identification card number.,2016-06-14 00:00:00,,4/28/16 (discovered 5/30/16),,,3(in Maine,"Ameriprise Financial, Inc., 707 Second Avenue S, Minneapolis, MN 55474",Maine
1160,,Discover card account information may have been compromised.,2016-06-14 00:00:00,,2016-05-01 00:00:00,,,11(in Maine,A-One Touch Registers,Maine
1161,,Discover card account information may have been compromised.,2016-06-14 00:00:00,,2016-05-01 00:00:00,,,35(in Maine,Central Payments Cpay,Maine
1162,,Discover card account information may have been compromised.,2016-06-14 00:00:00,,2016-05-01 00:00:00,,,1(in Maine,Cricketers,Maine
1163,,Discover card account information may have been compromised.,2016-06-14 00:00:00,,2016-05-01 00:00:00,,,1(in Maine,Department56Corner.com,Maine
1164,,Discover card account information may have been compromised.,2016-06-14 00:00:00,,2016-05-01 00:00:00,,,1(in Maine,Dinatouch,Maine
1165,,Discover card account information may have been compromised.,2016-06-14 00:00:00,,2016-05-01 00:00:00,,,9(in Maine,Discount Rubber Stamps,Maine
1166,,Discover card account information may have been compromised.,2016-06-14 00:00:00,,2016-05-01 00:00:00,,,20(in Maine,Dungarees LLC,Maine
1167,,Discover card account information may have been compromised.,2016-06-14 00:00:00,,2016-05-01 00:00:00,,,4(in Maine,In Vogue Incorporated,Maine
1168,,Discover card account information may have been compromised.,2016-06-14 00:00:00,,2016-05-01 00:00:00,,,1(in Maine,Incipio Technologies Inc.,Maine
1169,,Discover card account information may have been compromised.,2016-06-14 00:00:00,,2016-05-01 00:00:00,,,1(in Maine,KEH,Maine
1170,,Discover card account information may have been compromised.,2016-06-14 00:00:00,,2016-05-01 00:00:00,,,2(in Maine,Lighterusa.com,Maine
1171,,Discover card account information may have been compromised.,2016-06-14 00:00:00,,2016-05-01 00:00:00,,,3(in Maine,Missing Link Network (Ecellar),Maine
1172,,Discover card account information may have been compromised.,2016-06-14 00:00:00,,2016-05-01 00:00:00,,,1(in Maine,Rollie and Helens Musky Shop,Maine
1173,,Discover card account information may have been compromised.,2016-06-14 00:00:00,,2016-05-01 00:00:00,,,7(in Maine,Technology Marketing Inc.,Maine
1174,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2016-06-13 00:00:00,,5/04/16-5/19/16 (discovered 6/03/16),,,2(in Maine,"Tiemart, Inc., 525 Morris Avenue, Mundelein, IL 60060",Maine
1175,,"Name or other personal identifier in combination with SSN, address, date of birth, transaction history, fianancial account number or credit or debit card number with security code, access code. Password or PIN not disclosed.",2016-06-10 00:00:00,,11/09/15 (discovered 1/17/16),,,1(in Maine,"Franklin Templeton Investor Services, LLC (""FTIS""), 3344 Quality Drive, Rancho Cordova, CA 95670",Maine
1176,,"Name or other personal identifier in combination with SSN, date of birth, address, account number, positions, balances and transaction history.",2016-06-10 00:00:00,,4/20/16 - 4/25/16 (discovered 4/25/16),,,1(in Maine,"Fidelity Investments, Corporate Compliance, 200 Seaport Blvd.  Z1N, Boston, MA 02210",Maine
1177,,"Name or other personal identifier in combination with SSN, mailing address, date of birth, mother's maiden name, financial account number or credit or debit card number with the security code, access code, password, or PIN for the account.",2016-06-09 00:00:00,,Unknown (discovered 5/12/16),,,4(in Maine,"Wepawaug-Flagg Federal Credit Union (""WFFCU""),105 Sanford Street, Hamden, CT 06514",Maine
1178,,Name or other personal identifier in combination with SSN.,2016-06-07 00:00:00,,2016-06-07 00:00:00,,,1(in Maine,"Crane Co., 100 First Stamford Place, Stamford, CT 06092",Maine
1179,,Name or other personal identifier in combination with SSN.,2016-06-06 00:00:00,,Not specified (discovered 1/30/16),,,89(in Maine,"Empathia, Inc., N17 W24300 Riverwood Drive #300, Waukesha, WI 53188",Maine
1180,,Name or other personal identifier in combination with SSN.,2016-06-06 00:00:00,,Unknown (discovered 7/09/14),,,3(in Maine,"Pasternack Tilker Ziegler Walsh Stanton & Romano, LLP, 233 Broadway, New York, NY 10279",Maine
1181,,"Unspecified personal information identified as ""sensitive data elements"" stored on internal document storage application Netspace.",2016-06-03 00:00:00,,On or around 3/31/16 and 4/11/16 ,,,15(in Maine,"Bucknell University, 701 Moore Ave., Lewisburg, PA 17837",Maine
1182,,Name or other personal identifier in combination with SSN and address resulting in filing of false electronic tax returns with the IRS to obtain refunds in the names of clients.,2016-06-02 00:00:00,,4/21/16 to 4/27/16 (discovered 4/27/16),,,12(in Maine,"SD Associates P.C. (""SD""), 300 Yorktown Plaza, Elkins Park, PA 19027",Maine
1183,,"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",2016-05-27 00:00:00,,4/14/16 (discovered 4/25/16),,,1(in Maine,"Shoes West Distribution, Inc. (dba Taos Footwear), 2660 Columbia Street, Torrance, CA 90503",Maine
